,Features,Score
335,INTUBATED_YES,1.0
334,INTUBATED_NO,1.0
12,SECTOR_IMSS,0.99
378,ANOTHER CASE_UNKNOWN,0.99
0,TREATMENT_LOCATION,0.99
2,PATIENT_LOCATION,0.99
1,BIRTHPLACE_LOCATION,0.98
336,PNEUMONIA_NO,0.98
337,PNEUMONIA_YES,0.98
21,SECTOR_SSA,0.98
377,ANOTHER CASE_NO,0.97
4,AGE,0.97
3,MUNICIPALITY,0.97
17,SECTOR_PRIVATE,0.97
8,ORIGIN_OUTSIDE USMER,0.96
9,ORIGIN_USMER,0.96
13,SECTOR_ISSSTE,0.96
6,ADMISSION_MONTH,0.96
22,SECTOR_STATE,0.95
379,ANOTHER CASE_YES,0.95
19,SECTOR_SEDENA,0.95
7,ADMISSION_DATE,0.95
362,OTHER_DISEASE_IGNORED,0.94
370,OBESITY_YES,0.94
58,ADMISSION DATE_2020-04-06,0.94
16,SECTOR_PEMEX,0.94
356,INMUSUPR_IGNORED,0.93
353,ASTHMA_IGNORED,0.93
24,SEX_ Male,0.93
369,OBESITY_NO,0.93
340,PREGNANCY_DOES NOT APPLY,0.92
365,CARDIOVASCULAR_IGNORED,0.92
348,DIABETES_NO,0.92
20,SECTOR_SEMAR,0.92
349,DIABETES_YES,0.91
354,ASTHMA_NO,0.91
347,DIABETES_IGNORED,0.91
273,DATE_OF_DEATH_2020-04-18,0.91
357,INMUSUPR_NO,0.9
172,DATE_OF_FIRST_SYMPTOM_2020-04-06,0.9
371,CHRONIC_KIDNEY_IGNORED,0.9
355,ASTHMA_YES,0.9
342,PREGNANCY_NO,0.89
121,ADMISSION DATE_2020-06-08,0.89
23,SEX_ Female,0.89
298,DATE_OF_DEATH_2020-05-13,0.89
345,SPEAKS_NATIVE_LANGUAGE_UNKNOWN,0.88
363,OTHER_DISEASE_NO,0.88
361,HYPERTENSION_YES,0.88
228,DATE_OF_FIRST_SYMPTOM_2020-06-01,0.88
364,OTHER_DISEASE_YES,0.87
344,SPEAKS_NATIVE_LANGUAGE_NO,0.87
120,ADMISSION DATE_2020-06-07,0.87
374,TOBACCO_IGNORED,0.87
376,TOBACCO_YES,0.86
360,HYPERTENSION_NO,0.86
162,DATE_OF_FIRST_SYMPTOM_2020-03-27,0.86
299,DATE_OF_DEATH_2020-05-14,0.86
119,ADMISSION DATE_2020-06-06,0.85
350,COPD_IGNORED,0.85
326,DATE_OF_DEATH_2020-06-10,0.85
233,DATE_OF_FIRST_SYMPTOM_2020-06-06,0.85
166,DATE_OF_FIRST_SYMPTOM_2020-03-31,0.84
192,DATE_OF_FIRST_SYMPTOM_2020-04-26,0.84
201,DATE_OF_FIRST_SYMPTOM_2020-05-05,0.84
375,TOBACCO_NO,0.84
343,PREGNANCY_YES,0.83
15,SECTOR_NOT SPECIFIED,0.83
205,DATE_OF_FIRST_SYMPTOM_2020-05-09,0.83
372,CHRONIC_KIDNEY_NO,0.83
109,ADMISSION DATE_2020-05-27,0.82
366,CARDIOVASCULAR_NO,0.82
230,DATE_OF_FIRST_SYMPTOM_2020-06-03,0.82
108,ADMISSION DATE_2020-05-26,0.82
113,ADMISSION DATE_2020-05-31,0.81
81,ADMISSION DATE_2020-04-29,0.81
122,ADMISSION DATE_2020-06-09,0.81
211,DATE_OF_FIRST_SYMPTOM_2020-05-15,0.81
367,CARDIOVASCULAR_YES,0.8
124,ADMISSION DATE_2020-06-11,0.8
170,DATE_OF_FIRST_SYMPTOM_2020-04-04,0.8
292,DATE_OF_DEATH_2020-05-07,0.8
373,CHRONIC_KIDNEY_YES,0.79
351,COPD_NO,0.79
221,DATE_OF_FIRST_SYMPTOM_2020-05-25,0.79
216,DATE_OF_FIRST_SYMPTOM_2020-05-20,0.79
88,ADMISSION DATE_2020-05-06,0.78
64,ADMISSION DATE_2020-04-12,0.78
306,DATE_OF_DEATH_2020-05-21,0.78
358,INMUSUPR_YES,0.78
176,DATE_OF_FIRST_SYMPTOM_2020-04-10,0.77
352,COPD_YES,0.77
78,ADMISSION DATE_2020-04-26,0.77
210,DATE_OF_FIRST_SYMPTOM_2020-05-14,0.77
182,DATE_OF_FIRST_SYMPTOM_2020-04-16,0.76
167,DATE_OF_FIRST_SYMPTOM_2020-04-01,0.76
101,ADMISSION DATE_2020-05-19,0.76
173,DATE_OF_FIRST_SYMPTOM_2020-04-07,0.76
220,DATE_OF_FIRST_SYMPTOM_2020-05-24,0.75
231,DATE_OF_FIRST_SYMPTOM_2020-06-04,0.75
234,DATE_OF_FIRST_SYMPTOM_2020-06-07,0.75
97,ADMISSION DATE_2020-05-15,0.75
224,DATE_OF_FIRST_SYMPTOM_2020-05-28,0.74
265,DATE_OF_DEATH_2020-04-10,0.74
76,ADMISSION DATE_2020-04-24,0.74
311,DATE_OF_DEATH_2020-05-26,0.74
118,ADMISSION DATE_2020-06-05,0.73
222,DATE_OF_FIRST_SYMPTOM_2020-05-26,0.73
341,PREGNANCY_IGNORED,0.73
84,ADMISSION DATE_2020-05-02,0.73
229,DATE_OF_FIRST_SYMPTOM_2020-06-02,0.72
232,DATE_OF_FIRST_SYMPTOM_2020-06-05,0.72
181,DATE_OF_FIRST_SYMPTOM_2020-04-15,0.72
226,DATE_OF_FIRST_SYMPTOM_2020-05-30,0.72
293,DATE_OF_DEATH_2020-05-08,0.71
90,ADMISSION DATE_2020-05-08,0.71
62,ADMISSION DATE_2020-04-10,0.71
346,SPEAKS_NATIVE_LANGUAGE_YES,0.71
190,DATE_OF_FIRST_SYMPTOM_2020-04-24,0.7
368,OBESITY_IGNORED,0.7
223,DATE_OF_FIRST_SYMPTOM_2020-05-27,0.7
213,DATE_OF_FIRST_SYMPTOM_2020-05-17,0.7
206,DATE_OF_FIRST_SYMPTOM_2020-05-10,0.69
214,DATE_OF_FIRST_SYMPTOM_2020-05-18,0.69
318,DATE_OF_DEATH_2020-06-02,0.69
86,ADMISSION DATE_2020-05-04,0.69
285,DATE_OF_DEATH_2020-04-30,0.68
196,DATE_OF_FIRST_SYMPTOM_2020-04-30,0.68
218,DATE_OF_FIRST_SYMPTOM_2020-05-22,0.68
202,DATE_OF_FIRST_SYMPTOM_2020-05-06,0.68
359,HYPERTENSION_IGNORED,0.67
74,ADMISSION DATE_2020-04-22,0.67
208,DATE_OF_FIRST_SYMPTOM_2020-05-12,0.67
67,ADMISSION DATE_2020-04-15,0.67
189,DATE_OF_FIRST_SYMPTOM_2020-04-23,0.66
191,DATE_OF_FIRST_SYMPTOM_2020-04-25,0.66
94,ADMISSION DATE_2020-05-12,0.66
104,ADMISSION DATE_2020-05-22,0.66
203,DATE_OF_FIRST_SYMPTOM_2020-05-07,0.65
330,DATE_OF_DEATH_2020-06-14,0.65
296,DATE_OF_DEATH_2020-05-11,0.65
188,DATE_OF_FIRST_SYMPTOM_2020-04-22,0.65
276,DATE_OF_DEATH_2020-04-21,0.64
284,DATE_OF_DEATH_2020-04-29,0.64
322,DATE_OF_DEATH_2020-06-06,0.64
126,ADMISSION DATE_2020-06-13,0.64
281,DATE_OF_DEATH_2020-04-26,0.63
107,ADMISSION DATE_2020-05-25,0.63
79,ADMISSION DATE_2020-04-27,0.63
219,DATE_OF_FIRST_SYMPTOM_2020-05-23,0.63
187,DATE_OF_FIRST_SYMPTOM_2020-04-21,0.62
100,ADMISSION DATE_2020-05-18,0.62
114,ADMISSION DATE_2020-06-01,0.62
77,ADMISSION DATE_2020-04-25,0.62
193,DATE_OF_FIRST_SYMPTOM_2020-04-27,0.61
75,ADMISSION DATE_2020-04-23,0.61
117,ADMISSION DATE_2020-06-04,0.61
95,ADMISSION DATE_2020-05-13,0.61
93,ADMISSION DATE_2020-05-11,0.6
319,DATE_OF_DEATH_2020-06-03,0.6
328,DATE_OF_DEATH_2020-06-12,0.6
194,DATE_OF_FIRST_SYMPTOM_2020-04-28,0.6
212,DATE_OF_FIRST_SYMPTOM_2020-05-16,0.59
70,ADMISSION DATE_2020-04-18,0.59
91,ADMISSION DATE_2020-05-09,0.59
